hex,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
822087fffffffff,8.83,13.63,14.93,22.61,24.98,27.42,30.14,25.65,24.04,15.36,8.9,7.96
82435ffffffffff,13.15,18.47,21.93,26.36,29.3,30.97,24.85,23.69,24.46,20.69,15.08,13.43
82434ffffffffff,10.24,12.56,17.16,22.79,24.61,28.98,29.46,25.11,24.43,18.56,11.02,9.84
824347fffffffff,10.9,15.125,18.135,24.465,27.315,30.48,27.12,25.450000000000003,24.29,19.235,12.975,10.475
824267fffffffff,9.65,16.5,21.77,26.31,29.15,30.35,25.22,21.71,24.63,20.71,14.61,11.99
822097fffffffff,10.29,16.23,19.2,23.81,26.22,28.89,27.16,20.68,24.29,19.41,12.26,11.01
82ac9ffffffffff,26.54,21.84,22.73,21.7,20.4,18.93,18.88,21.73,24.04,24.36,26.38,27.28
829647fffffffff,20.19,17.66,17.65,19.01,21.62,20.35,20.02,20.36,20.24,19.0,17.4,19.14
82964ffffffffff,19.485,19.59,18.65,18.875,21.025,19.075000000000003,19.185,20.97,21.225,20.8,18.45,20.465
828337fffffffff,20.37,19.39,20.07,20.43,21.68,20.27,20.72,21.74,22.06,18.94,22.4,21.72
8283a7fffffffff,18.009999999999998,19.01,18.19,16.705,17.700000000000003,17.299999999999997,15.505,14.775,14.08,15.755,15.97,17.83
8283affffffffff,18.97,20.77,17.86,16.23,18.92,17.58,14.64,13.2,12.39,14.57,16.7,19.24
82966ffffffffff,27.19,22.345,23.605,21.79,20.35,18.835,18.8,21.575000000000003,23.79,24.415,26.895,27.765
829667fffffffff,19.23,22.13,18.95,19.62,19.72,18.32,17.54,20.76,23.92,20.83,22.65,24.48
82965ffffffffff,16.29,16.815,19.28,19.925,20.445,20.35,19.665,19.305,18.735,21.385,17.225,17.475
828327fffffffff,27.19,22.345,23.605,21.79,20.35,18.835,18.8,21.575000000000003,23.79,24.415,26.895,27.765
828317fffffffff,20.16,19.14,19.05,18.94,21.43,20.74,20.48,20.64,18.74,18.69,18.57,19.64
821ed7fffffffff,8.44,10.64,14.35,19.29,24.26,24.78,26.72,21.25,18.4,13.78,7.78,5.68
82c367fffffffff,28.75,24.75,21.26,13.615,10.2,6.33,7.335,11.065,17.825,22.465,28.0,31.950000000000003
82b26ffffffffff,25.49,23.735,18.69,14.88,10.795,8.81,8.795,13.285,17.285,21.905,25.72,28.455
82b2cffffffffff,32.64,28.85,23.86,15.24,10.08,7.57,7.64,12.89,17.4,22.75,28.73,33.4
82c357fffffffff,25.67,24.49,20.49,15.71,11.315,9.375,9.155,14.21,17.39,22.485,25.465,29.64
82b277fffffffff,25.14,21.86,18.1,15.06,12.25,11.37,13.28,17.17,19.34,23.97,27.77,25.92
82c2e7fffffffff,25.67,24.49,20.49,15.71,11.315,9.375,9.155,14.21,17.39,22.485,25.465,29.64
82b357fffffffff,23.57,19.4,18.06,15.375,12.9,12.29,14.03,18.135,18.770000000000003,22.415,26.735,22.145
82a967fffffffff,26.51,24.52,18.07,15.22,12.15,9.57,10.04,14.69,18.57,23.57,27.64,26.92
82c32ffffffffff,26.69,23.74,20.07,12.49,9.06,6.86,7.22,11.64,16.47,21.85,26.24,30.1
82cfa7fffffffff,26.225,21.8,15.61,9.165,5.795,4.16,5.135,7.92,13.505,19.545,26.53,26.86
82df47fffffffff,22.525,17.855,13.765,9.265,5.105,3.16,3.99,6.805,11.495,16.825000000000003,22.485,23.04
82c347fffffffff,25.67,24.49,20.49,15.71,11.315,9.375,9.155,14.21,17.39,22.485,25.465,29.64
82c2effffffffff,25.67,24.49,20.49,15.71,11.315,9.375,9.155,14.21,17.39,22.485,25.465,29.64
82c34ffffffffff,26.05,24.49,20.56,16.0,11.94,9.96,9.99,14.78,17.6,22.54,26.47,28.75
82cf9ffffffffff,28.57,22.76,16.88,9.81,6.8,4.82,5.58,8.58,13.8,20.44,27.3,27.66
82b20ffffffffff,26.0,22.135,18.455,14.655,12.215,10.875,12.42,16.62,18.95,23.895,27.585,25.15
82cf87fffffffff,26.225,21.8,15.61,9.165,5.795,4.16,5.135,7.92,13.505,19.545,26.53,26.86
82ce97fffffffff,28.45,25.43,21.78,14.51,10.43,6.87,7.65,11.55,18.47,22.4,27.97,32.21
82b25ffffffffff,26.37,24.115,20.315,14.245,10.5,8.41,8.605,13.21,17.035,22.195,26.355,29.425
82b247fffffffff,25.86,21.8,19.24,16.38,11.95,10.81,12.32,16.46,18.92,23.44,27.34,27.19
82a96ffffffffff,25.700000000000003,21.77,19.700000000000003,16.064999999999998,13.045,11.07,13.355,16.945,17.71,22.025,27.315,24.515
82ceb7fffffffff,26.225,21.8,15.61,9.165,5.795,4.16,5.135,7.92,13.505,19.545,26.53,26.86
82c327fffffffff,26.225,21.8,15.61,9.165,5.795,4.16,5.135,7.92,13.505,19.545,26.53,26.86
82b2e7fffffffff,31.01,27.475,24.115,16.225,10.9,7.92,8.225,13.255,17.86,23.31,28.165,32.27
